dms_orig,dms_dest,dms_mode,sctg2,tons_2015,value_2015
19,31,1,1,2181.1584,4031.052
20,5,1,1,89.8611,183.839
20,6,1,1,0.237,0.264
20,9,1,1,0.0307,0.197
20,10,1,1,0.0001,0.0131
20,12,1,1,0.5667,2.0678
20,13,1,1,0.065,0.0254
20,19,1,1,21.7236,47.3882
20,20,1,1,2422.1555,5536.5082
20,25,1,1,0.0279,0.5731
20,28,1,1,15.7322,26.7822
20,29,1,1,76.5238,120.6212
20,31,1,1,2180.0546,5059.0039
20,32,1,1,0.2413,0.8605
20,33,1,1,0.2798,0.9575
20,34,1,1,0.2576,0.874
20,36,1,1,0.2599,0.8931
20,37,1,1,0.0034,0.0246
20,40,1,1,166.5318,276.8056
20,42,1,1,0.2777,0.2973
20,48,1,1,347.676,738.7672
21,1,1,1,22.743,31.194
21,13,1,1,10.6909,18.8531
21,17,1,1,14.1952,29.0464
21,18,1,1,458.6198,559.6201
21,19,1,1,15.227,40.2427
21,20,1,1,9.9506,26.2524
21,21,1,1,669.8872,1101.523
21,28,1,1,0.7028,0.1038
21,31,1,1,47.034,110.1031
21,37,1,1,25.1364,30.6779
21,39,1,1,69.3809,134.7116
21,47,1,1,359.4354,649.8732
21,48,1,1,79.1779,187.2001
21,51,1,1,8.7507,12.5555
21,54,1,1,2.3959,3.0853
22,1,1,1,35.7573,53.2342
22,5,1,1,190.2413,312.3198
22,12,1,1,3.1849,6.0128
22,22,1,1,662.2976,525.9998
22,28,1,1,119.7829,242.5604
22,48,1,1,34.4479,70.568
23,23,1,1,141.7585,555.7811
23,33,1,1,13.2906,58.9614
23,44,1,1,0.3293,0.9222
23,50,1,1,0.3355,0.9394
24,6,5,1,0.0001,0.4563
24,10,1,1,94.658,70.6085
24,11,1,1,10.0569,21.7351
24,22,5,1,0.1204,0.0467
24,24,1,1,159.0285,301.2246
24,24,5,1,0.1122,0.5582
24,26,1,1,1.7733,8.6097
24,29,5,1,0.0001,0.9738
24,34,1,1,18.6619,34.5244
24,34,5,1,0.0078,0.8243
24,35,5,1,0.0002,0.3686
24,36,5,1,0.0614,1.0891
24,39,1,1,4.6102,10.8215
24,39,5,1,0.0281,0.8789
24,42,1,1,277.4622,364.3551
24,42,5,1,0.0001,0.8603
24,48,5,1,0.0004,0.5736
24,49,5,1,0.0363,0.0179
24,51,1,1,336.6274,332.0557
24,51,5,1,0.0165,0.1928
24,54,1,1,40.2377,28.0294
24,55,1,1,0.0506,3.5832
25,9,1,1,6.9408,20.1893
25,12,1,1,0.0003,0.0843
25,23,1,1,2.372,6.6416
25,25,1,1,186.3831,765.5181
25,33,1,1,3.2791,9.6627
25,36,1,1,2.4981,6.9946
25,44,1,1,3.2722,9.2361
25,50,1,1,2.2441,6.2835
26,17,1,1,0.3144,0.8803
26,18,1,1,355.551,546.0913
26,26,1,1,492.6862,1062.6584
26,39,1,1,7.0894,19.1672
26,55,1,1,4.7648,9.3442
27,19,1,1,576.695,746.4747
27,27,1,1,725.0036,975.2657
27,31,1,1,1004.8032,1392.112
27,38,1,1,40.4088,56.2123
27,39,1,1,1.7412,5.0316
27,46,1,1,657.0092,833.169
27,55,1,1,1200.8575,1541.9875
28,1,1,1,501.1118,730.4032
28,5,1,1,526.0961,731.3095
28,12,1,1,42.4315,50.6351
28,20,1,1,40.7706,129.8882
28,22,1,1,364.8248,411.6936
28,28,1,1,1700.6794,2057.321
28,31,1,1,9.9864,27.8863
28,40,1,1,23.21,73.3076
28,47,1,1,48.6347,35.9864
28,48,1,1,6.5085,18.3295
29,1,1,1,0.1251,1.1954
29,4,1,1,0,0.3661
29,5,1,1,411.0368,478.3596
29,6,1,1,0.1286,1.4633
29,9,1,1,0.0864,1.407
29,12,1,1,0.2516,3.0858
29,13,1,1,0.1066,0.9221
29,17,1,1,158.9907,212.0377
29,18,1,1,6.072,4.5733
29,19,1,1,258.6002,304.6775
29,20,1,1,208.2896,336.573
29,21,1,1,1.8805,2.4233
29,24,1,1,0.0909,0.7306
29,25,1,1,0.1246,1.0873
29,28,1,1,0,0.0074
29,29,1,1,2519.3212,3161.2363
29,31,1,1,65.9251,99.8533
29,32,1,1,0.0842,0.888
29,34,1,1,0.089,2.3336
29,36,1,1,0.1815,3.8358
29,39,1,1,0.1723,1.0932
29,40,1,1,52.534,52.9898
29,41,4,1,0,0.0797
29,42,1,1,0.2062,2.5429
29,47,1,1,1.5099,1.1735
29,48,1,1,0.1467,1.6696
29,51,1,1,0.1402,1.7369
30,16,1,1,848.5881,1585.5916
30,19,1,1,6.2526,21.9976
30,20,1,1,0.0081,0.0468
30,30,1,1,58.9972,163.3752
30,31,1,1,0.0116,0.0134
30,56,1,1,16.2032,39.2342
31,8,1,1,104.541,221.7022
31,19,1,1,107.0106,173.8786
31,20,1,1,619.0794,1262.8314
31,27,1,1,39.5913,80.1552
31,29,1,1,13.5031,26.1125
31,31,1,1,4757.4109,9626.1721
31,46,1,1,131.1668,229.7622
32,6,1,1,15.0935,26.7772
32,16,1,1,0.7146,1.9866
32,28,1,1,0.6872,2.7973
32,32,1,1,135.1232,280.7317
32,41,1,1,3.0316,6.0234
32,49,1,1,0.7853,2.2066
33,9,1,1,2.9325,11.8517
33,23,1,1,0.5196,1.4549
33,25,1,1,5.9665,26.6315
33,33,1,1,7.8194,27.5418
33,36,1,1,0.687,1.9235
33,44,1,1,1.9807,7.4221
33,50,1,1,0.4489,1.2567
34,9,1,1,2.7568,10.7731
34,10,1,1,8.5253,28.2917
34,24,1,1,0.993,5.3117
34,34,1,1,100.3676,219.1427
34,36,1,1,10.347,57.3014
34,42,1,1,8.6601,29.259
34,44,1,1,0.4905,1.3734
35,8,1,1,23.6692,47.1583
35,35,1,1,192.5484,334.0346
35,48,1,1,166.7655,290.1779
36,9,1,1,14.0597,39.4992
36,10,1,1,6.2882,17.607
36,24,1,1,6.2308,17.4463
36,25,1,1,10.8505,29.5567
36,33,1,1,7.4095,20.7465
36,34,1,1,20.8447,51.9543
36,36,1,1,369.9714,901.2755
36,39,1,1,1.6222,4.5421
36,42,1,1,38.4348,100.6515
36,44,1,1,6.7073,18.7805
36,50,1,1,6.833,19.1323
36,54,1,1,1.3047,3.6531
37,1,5,1,0.0001,1.2292
37,6,5,1,0.112,1.626
37,10,1,1,0.6941,1.9434
37,12,5,1,0.2308,0.2314
37,13,1,1,114.6645,132.7265
37,18,5,1,2.1376,16.2262
37,19,5,1,1.3009,5.554
37,21,1,1,193.7743,205.0083
37,22,5,1,0.0001,3.9486
37,23,5,1,0.2983,2.9498
37,24,5,1,0.0001,0.2305
37,31,1,1,4.6143,10.7396
37,34,5,1,0.2836,0.9267
37,36,5,1,0.1119,2.7941
37,37,1,1,2817.9239,3245.7385
37,37,5,1,0.0893,2.0401
37,39,5,1,0.0002,5.5053
37,42,5,1,0.2811,3.0629
37,45,1,1,1309.3389,1327.856
37,45,5,1,0.0001,4.8091
37,47,1,1,714.8066,597.4488
37,47,5,1,0.0001,3.5232
37,48,5,1,0.1833,1.029
37,51,1,1,2012.638,2293.0475
37,54,1,1,348.8225,256.2991
38,38,1,1,544.3507,1039.1628
38,46,1,1,183.5,351.5793
39,16,1,1,0.9025,1.7889
39,17,1,1,29.6394,99.6473
39,18,1,1,111.6901,125.5086
39,21,1,1,240.2468,402.51
39,24,1,1,0.5495,0.6159
39,26,1,1,35.322,82.9613
39,36,1,1,4.1563,8.0273
39,39,1,1,900.9525,1639.2622
39,42,1,1,118.0921,280.9614
39,47,1,1,6.9151,10.9011
39,51,1,1,16.903,24.8378
39,54,1,1,121.6343,113.6276
40,5,1,1,16.4036,23.699
40,17,1,1,1.2393,1.4881
40,19,1,1,1.586,4.0663
40,20,1,1,810.7797,1563.78
40,22,1,1,0.1576,1.0892
40,29,1,1,5.8641,9.4067
40,35,1,1,0.0872,1.5793
40,40,1,1,1953.763,2669.195
40,48,1,1,591.9837,938.8038
41,6,1,1,42.2209,82.3309
41,32,1,1,0.2685,0.5198
41,41,1,1,256.8133,453.7631
41,53,1,1,371.2254,715.1171
42,9,1,1,1.4024,4.0189
42,10,1,1,16.2698,18.684
42,11,1,1,3.5235,10.012
42,19,1,1,1.0686,2.0936
42,20,1,1,1.9984,5.9866
42,24,1,1,109.1405,222.8279
42,25,1,1,0.097,0.2265
42,34,1,1,92.3216,155.2315
42,36,1,1,256.3659,476.7308
42,39,1,1,46.1131,89.7627
42,42,1,1,1163.3512,1864.3915
42,50,1,1,0.1506,0.4216
42,51,1,1,23.7583,40.8537
42,54,1,1,60.7843,47.8351
44,9,1,1,1.2034,3.4577
44,25,1,1,1.4362,5.1387
44,33,1,1,0.617,1.7818
44,36,1,1,1.44,5.1112
44,44,1,1,41.0956,79.6329
44,50,1,1,0.5183,1.4511
45,13,1,1,392.9062,690.367
45,28,1,1,1.3438,0.4023
45,37,1,1,486.0064,684.9199
45,45,1,1,40.052,76.3443
45,47,1,1,51.4812,66.1351
46,31,1,1,79.6471,153.7829
46,38,1,1,102.7227,198.2976
46,46,1,1,2048.0579,3939.8728
47,1,1,1,353.6415,463.4818
47,5,1,1,5.3056,8.7364
47,13,1,1,149.5818,234.8635
47,17,1,1,0.5175,1.4488
47,18,1,1,0.8977,2.5135
47,20,1,1,246.8537,720.5719
47,21,1,1,110.1438,170.7918
47,28,1,1,8.078,24.0549
47,29,1,1,3.9674,6.3575
47,31,1,1,36.7826,101.5029
47,37,1,1,24.5787,32.5082
47,39,1,1,0.4184,1.1716
47,40,1,1,77.1357,260.5849
47,45,1,1,2.3498,3.3217
